Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.7374024130589071,0.5033898305084745,0.7941176470588235,0.6161825726141079,0.8402051202562711
Random Forest,0.7750177430801988,0.5807365439093485,0.5481283422459893,0.5639614855570839,0.8187449947040739
XGBoost,0.7771469127040455,0.5710900473933649,0.6443850267379679,0.6055276381909548,0.8418326487380197
Rule-Based Baseline,0.7530163236337828,0.5338541666666666,0.5481283422459893,0.5408970976253298,0.6875907411713038
